Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mag1_2,mag2,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
NGC2750,_bdbar,3,5,BAR,ferrer2,,,,,,,0.055,20.742,,,11.938,12.374,10.526,38.4,SABc,5.3,45.38,38.4,3.5,0.25
NGC2780,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.017,17.986,,,13.264,13.703,10.318,55.55,Sb,3.0,45.73,55.6,1.0,1.0
NGC2893,_bdbar,3,5,BAR,ferrer2,,,,,,,0.259,19.347,,,12.719,13.165,9.909,26.8,S0-a,0.3,39.11,26.8,-0.5,0.5
NGC2938,_dbar,2,5,BAR,ferrer2,,,,,,,0.067,21.475,,,14.027,14.437,9.828,46.0,Sc,5.8,47.96,46.0,7.5,1.0
NGC2968,_bdbar,3,5,BAR,ferrer2,,,,,,,0.175,20.358,,,10.93,11.444,10.104,13.89,Sa,1.2,52.67,13.9,-1.0,1.0
NGC3020,_dbar,2,5,BAR,ferrer2,,,,,,,0.095,20.537,,,12.922,13.289,9.821,28.45,Sc,5.9,58.42,28.5,8.5,1.0
NGC3023,_dbar,2,5,BAR,ferrer2,,,,,,,0.179,20.365,,,12.992,13.323,9.854,31.46,SABc,5.5,60.66,31.5,8.0,1.0
NGC3049,_dbarn,3,5,BAR,ferrer2,,,,,,,0.145,19.072,,,12.43,12.86,10.132,30.775,SBb,2.5,58.09,30.8,2.0,1.0
NGC3055,_dbarn,3,5,BAR,ferrer2,,,,,,,0.055,18.378,,,11.909,12.318,10.348,31.614,SABc,5.3,57.12,31.6,4.5,0.25
NGC3057,_dbarf,2,5,BAR,ferrer2,,,,,,,0.02,21.747,,,13.538,13.957,9.525,25.7,Sd,7.9,58.32,25.7,7.5,1.0
NGC3061,_bdbar,3,5,BAR,ferrer2,,,,,,,0.02,21.269,,,13.146,13.594,10.366,55.1,Sc,5.3,39.64,55.1,3.0,0.5
NGC3066,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.085,19.289,,,12.525,12.914,10.109,32.4,SABb,4.0,18.64,,2.0,0.5
NGC3153,_dbar,2,5,BAR,ferrer2,,,,,,,0.072,20.531,,,13.092,13.543,10.101,39.6,Sc,5.9,60.64,,6.5,1.0
NGC3155,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.053,18.77,,,13.45,13.881,10.171,51.4,Sbc,3.5,61.27,51.4,3.0,0.88
NGC3162,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.04,19.749,,,11.775,12.229,10.287,26.66,SABc,4.6,37.09,26.7,4.5,0.0
NGC3166,_bdbar,3,5,BAR,ferrer2,,,,,,,0.259,18.766,,,9.85,10.314,10.898,22.0,S0-a,0.3,56.14,22.0,-1.0,0.75
NGC3206,_dbar,2,5,BAR,ferrer2,,,,,,,0.076,20.6,,,12.889,13.32,9.606,20.725,SBc,6.0,61.14,20.7,7.0,1.0
